rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
87.0,Benin,BEN,386.0,332.0,-10,CAF,2014-06-05
88.0,Togo,TOG,383.0,374.0,-1,CAF,2014-06-05
89.0,Gabon,GAB,382.0,386.0,2,CAF,2014-06-05
90.0,Northern Ireland,NIR,381.0,400.0,6,UEFA,2014-06-05
90.0,Saudi Arabia,KSA,381.0,455.0,15,AFC,2014-06-05
92.0,Botswana,BOT,375.0,369.0,1,CAF,2014-06-05
93.0,Angola,ANG,364.0,347.0,-1,CAF,2014-06-05
94.0,Palestine,PLE,358.0,88.0,-71,AFC,2014-06-05
95.0,Cuba,CUB,354.0,371.0,5,CONCACAF,2014-06-05
96.0,Georgia,GEO,349.0,303.0,-7,UEFA,2014-06-05
97.0,New Zealand,NZL,347.0,271.0,-14,OFC,2014-06-05
98.0,Estonia,EST,343.0,366.0,5,UEFA,2014-06-05
99.0,Zimbabwe,ZIM,340.0,327.0,1,CAF,2014-06-05
100.0,Qatar,QAT,339.0,338.0,5,AFC,2014-06-05
101.0,Moldova,MDA,334.0,325.0,2,UEFA,2014-06-05
102.0,Equatorial Guinea,EQG,333.0,261.0,-11,CAF,2014-06-05
103.0,China PR,CHN,331.0,333.0,7,AFC,2014-06-05
104.0,Iraq,IRQ,329.0,321.0,4,AFC,2014-06-05
105.0,Central African Republic,CTA,321.0,284.0,-1,CAF,2014-06-05
106.0,Lithuania,LTU,319.0,293.0,2,UEFA,2014-06-05
107.0,Ethiopia,ETH,317.0,319.0,6,CAF,2014-06-05
108.0,Kenya,KEN,296.0,284.0,2,CAF,2014-06-05
109.0,Latvia,LVA,293.0,273.0,0,UEFA,2014-06-05
110.0,Bahrain,BHR,289.0,289.0,5,AFC,2014-06-05
110.0,Canada,CAN,289.0,272.0,0,CONCACAF,2014-06-05
112.0,Niger,NIG,284.0,315.0,10,CAF,2014-06-05
113.0,Tanzania,TAN,283.0,227.0,-9,CAF,2014-06-05
114.0,Namibia,NAM,277.0,233.0,-6,CAF,2014-06-05
115.0,Kuwait,KUW,276.0,283.0,7,AFC,2014-06-05
116.0,Rwanda,RWA,271.0,197.0,-15,CAF,2014-06-05
116.0,Liberia,LBR,271.0,234.0,-3,CAF,2014-06-05
118.0,Mozambique,MOZ,269.0,251.0,4,CAF,2014-06-05
119.0,Luxembourg,LUX,267.0,266.0,7,UEFA,2014-06-05
120.0,Sudan,SDN,254.0,241.0,3,CAF,2014-06-05
120.0,Aruba,ARU,254.0,122.0,-35,CONCACAF,2014-06-05
122.0,Malawi,MWI,247.0,227.0,0,CAF,2014-06-05
123.0,Vietnam,VIE,242.0,242.0,7,AFC,2014-06-05
124.0,Kazakhstan,KAZ,241.0,235.0,6,UEFA,2014-06-05
125.0,Lebanon,LBN,233.0,251.0,11,AFC,2014-06-05
126.0,Tajikistan,TJK,229.0,229.0,5,AFC,2014-06-05
127.0,Guatemala,GUA,226.0,223.0,3,CONCACAF,2014-06-05
128.0,Burundi,BDI,221.0,215.0,3,CAF,2014-06-05
129.0,Philippines,PHI,217.0,161.0,-11,AFC,2014-06-05
130.0,Afghanistan,AFG,215.0,204.0,2,AFC,2014-06-05
131.0,Dominican Republic,DOM,212.0,212.0,5,CONCACAF,2014-06-05
132.0,Malta,MLT,204.0,204.0,4,UEFA,2014-06-05
133.0,St Vincent and the Grenadines,VIN,203.0,212.0,7,CONCACAF,2014-06-05
134.0,Chad,CHA,201.0,88.0,-31,CAF,2014-06-05
134.0,Guinea-Bissau,GNB,201.0,43.0,-50,CAF,2014-06-05
136.0,Suriname,SUR,197.0,197.0,5,CONCACAF,2014-06-05
137.0,St Lucia,LCA,196.0,191.0,4,CONCACAF,2014-06-05
137.0,Mauritania,MTN,196.0,165.0,-2,CAF,2014-06-05
139.0,Lesotho,LES,194.0,159.0,-2,CAF,2014-06-05
140.0,Syria,SYR,190.0,190.0,6,AFC,2014-06-05
140.0,New Caledonia,NCL,190.0,174.0,2,OFC,2014-06-05
142.0,Cyprus,CYP,189.0,201.0,12,UEFA,2014-06-05
143.0,Turkmenistan,TKM,183.0,119.0,-13,AFC,2014-06-05
144.0,Grenada,GRN,182.0,188.0,8,CONCACAF,2014-06-05
144.0,Madagascar,MAD,182.0,32.0,-45,CAF,2014-06-05
146.0,Korea DPR,PRK,175.0,175.0,9,AFC,2014-06-05
147.0,Maldives,MDV,171.0,124.0,-6,AFC,2014-06-05
148.0,The Gambia,GAM,166.0,190.0,14,CAF,2014-06-05
149.0,Kyrgyz Republic,KGZ,163.0,148.0,3,AFC,2014-06-05
149.0,Thailand,THA,163.0,156.0,6,AFC,2014-06-05
151.0,Antigua and Barbuda,ATG,158.0,158.0,9,CONCACAF,2014-06-05
152.0,Belize,BLZ,152.0,152.0,8,CONCACAF,2014-06-05
153.0,Malaysia,MAS,149.0,149.0,8,AFC,2014-06-05
154.0,India,IND,144.0,144.0,7,AFC,2014-06-05
155.0,Singapore,SGP,141.0,144.0,8,AFC,2014-06-05
156.0,Guyana,GUY,137.0,137.0,5,CONCACAF,2014-06-05
157.0,Indonesia,IDN,135.0,135.0,5,AFC,2014-06-05
158.0,Puerto Rico,PUR,134.0,143.0,9,CONCACAF,2014-06-05
159.0,Myanmar,MYA,133.0,73.0,-14,AFC,2014-06-05
160.0,St Kitts and Nevis,SKN,124.0,124.0,7,CONCACAF,2014-06-05
161.0,Tahiti,TAH,122.0,116.0,4,OFC,2014-06-05
162.0,Liechtenstein,LIE,118.0,139.0,12,UEFA,2014-06-05
163.0,Hong Kong,HKG,112.0,111.0,5,AFC,2014-06-05
164.0,Nepal,NEP,102.0,102.0,5,AFC,2014-06-05
164.0,Pakistan,PAK,102.0,102.0,5,AFC,2014-06-05
166.0,Montserrat,MSR,99.0,33.0,-22,CONCACAF,2014-06-05
167.0,Bangladesh,BAN,98.0,98.0,5,AFC,2014-06-05
168.0,Laos,LAO,97.0,73.0,-5,AFC,2014-06-05
169.0,Dominica,DMA,93.0,93.0,6,CONCACAF,2014-06-05
170.0,Barbados,BRB,92.0,101.0,9,CONCACAF,2014-06-05
171.0,Faroe Islands,FRO,89.0,91.0,7,UEFA,2014-06-05
172.0,Sao Tome and Principe,STP,86.0,86.0,5,CAF,2014-06-05
173.0,Eswatini,SWZ,85.0,64.0,-5,CAF,2014-06-05
174.0,Comoros,COM,84.0,43.0,-10,CAF,2014-06-05
175.0,Bermuda,BER,83.0,83.0,6,CONCACAF,2014-06-05
176.0,Chinese Taipei,TPE,78.0,78.0,6,AFC,2014-06-05
176.0,Nicaragua,NCA,78.0,84.0,8,CONCACAF,2014-06-05
178.0,Guam,GUM,77.0,77.0,7,AFC,2014-06-05
